Годы,Акмолинская,Актюбинская,Алматинская,Атырауская,Западно-Казахстанская,Жамбылская,Карагандинская,Костанайская,Кызылординская,Мангистауская,Павлодарская,Северо-Казахстанская,Туркестанская,Восточно-Казахстанская,город Астана,город Алматы
2003,2182,3121,3347,1403,2031,2525,5779,2240,1936,1192,2840,1576,6210,5395,2784,10052
2004,2206,3213,3329,1445,2019,2526,5862,2225,1970,1210,2859,1613,6269,5493,3015,9504
2005,2234,3275,3374,1422,1968,2514,6013,2216,1967,1189,2945,1600,6361,5551,3287,9593
2006,2334,3274,3954,1492,2018,2558,6173,2295,2177,1432,2870,1545,6450,5625,3716,9601
2007,2299,3404,4015,1539,2026,2907,6074,2277,2289,1447,2826,1596,6720,5788,4246,9922
2008,2204,3380,3327,1509,1837,2642,6150,2208,2069,1586,2860,1624,6837,5753,4675,10284
2009,2177,3425,3577,1541,1931,2682,6304,2245,2169,1637,2903,1650,7155,5739,5109,10412
2010,2165,3586,3898,1622,1892,2770,6404,2347,2208,1687,2997,1672,8039,5814,5488,11266
2011,2227,3091,4146,1707,2113,3209,5354,2366,2366,1704,3068,1693,8492,5045,5417,10241
2012,2423,3222,4616,1814,2127,3117,5408,2306,2520,1782,3088,1722,8231,5729,6229,10098
2013,2247,3750,4413,1859,2197,3266,5466,2298,2630,1884,3108,1730,8295,5797,6587,10511
2014,2227,3702,4493,1694,1930,2989,6363,2302,2154,1757,2969,1733,9280,5891,7252,12128
2015,2202,3641,4703,1710,1962,3053,6274,2281,2404,1845,2906,1746,8795,5876,7604,12720
2016,2186,3607,4863,1710,2083,3195,6306,2255,2455,1923,2946,1743,9315,5912,7780,16332
2017,2202,3848,4701,1758,2068,3157,6344,2331,2644,2130,2855,1669,9384,5879,7897,13267
2018,2128,4061,4765,1825,2090,3336,6276,2324,2697,2219,2855,1695,5195,5878,8220,13298
2019,1834,4088,5032,1855,2130,3262,6233,2455,2740,2347,2884,1687,5625,5848,8622,13052
2020,1842,4104,5214,2026,2177,3287,6380,2526,2842,2424,2944,1694,5883,6002,9048,13450
2021,1921,4111,5276,2062,2216,3395,6422,2462,2860,2494,3017,1664,6056,5954,9469,13884
2022,1888,4531,3609,2053,2240,3513,5707,2454,2892,2459,3002,1708,6226,3131,9937,13859
